row_index,shot_label
0,cover_drive
1,cover_drive
2,cover_drive
3,cover_drive
4,cover_drive
5,cover_drive
6,cover_drive
7,cover_drive
8,cover_drive
9,cover_drive
10,cover_drive
11,cover_drive
12,cover_drive
13,cover_drive
14,cover_drive
15,cover_drive
16,cover_drive
17,cover_drive
18,cover_drive
19,cover_drive
20,defensive_shot
21,defensive_shot
22,defensive_shot
23,defensive_shot
24,defensive_shot
25,defensive_shot
26,defensive_shot
27,defensive_shot
28,defensive_shot
29,defensive_shot
30,defensive_shot
31,defensive_shot
32,defensive_shot
33,defensive_shot
34,defensive_shot
35,defensive_shot
36,defensive_shot
37,defensive_shot
38,defensive_shot
39,defensive_shot
40,pull_shot
41,pull_shot
42,pull_shot
43,pull_shot
44,pull_shot
45,pull_shot
46,pull_shot
47,pull_shot
48,pull_shot
49,pull_shot
50,pull_shot
51,pull_shot
52,pull_shot
53,pull_shot
54,pull_shot
55,pull_shot
56,pull_shot
57,pull_shot
58,pull_shot
59,pull_shot
60,sweep_shot
61,sweep_shot
62,sweep_shot
63,sweep_shot
64,sweep_shot
65,sweep_shot
66,sweep_shot
67,sweep_shot
68,sweep_shot
69,sweep_shot
70,sweep_shot
71,sweep_shot
72,sweep_shot
73,sweep_shot
74,sweep_shot
75,sweep_shot
76,sweep_shot
77,sweep_shot
78,sweep_shot
79,sweep_shot
