row_index,video_id,file_name,source_file,shot_label,sequence_path
0,001,cover_drive_average_01.mov,cover_drive/cover_drive_average_01.mov,cover_drive,data/processed/pose_sequences/001_cover_drive_average_01_sequence.json
1,002,cover_drive_average_02.mov,cover_drive/cover_drive_average_02.mov,cover_drive,data/processed/pose_sequences/002_cover_drive_average_02_sequence.json
2,003,cover_drive_average_03.mov,cover_drive/cover_drive_average_03.mov,cover_drive,data/processed/pose_sequences/003_cover_drive_average_03_sequence.json
3,004,cover_drive_average_04.mov,cover_drive/cover_drive_average_04.mov,cover_drive,data/processed/pose_sequences/004_cover_drive_average_04_sequence.json
4,005,cover_drive_average_05.mov,cover_drive/cover_drive_average_05.mov,cover_drive,data/processed/pose_sequences/005_cover_drive_average_05_sequence.json
5,006,cover_drive_average_06.mov,cover_drive/cover_drive_average_06.mov,cover_drive,data/processed/pose_sequences/006_cover_drive_average_06_sequence.json
6,007,cover_drive_average_07.mov,cover_drive/cover_drive_average_07.mov,cover_drive,data/processed/pose_sequences/007_cover_drive_average_07_sequence.json
7,008,cover_drive_average_08.mov,cover_drive/cover_drive_average_08.mov,cover_drive,data/processed/pose_sequences/008_cover_drive_average_08_sequence.json
8,009,cover_drive_bad_01.mov,cover_drive/cover_drive_bad_01.mov,cover_drive,data/processed/pose_sequences/009_cover_drive_bad_01_sequence.json
9,010,cover_drive_bad_02.mov,cover_drive/cover_drive_bad_02.mov,cover_drive,data/processed/pose_sequences/010_cover_drive_bad_02_sequence.json
10,011,cover_drive_bad_03.mov,cover_drive/cover_drive_bad_03.mov,cover_drive,data/processed/pose_sequences/011_cover_drive_bad_03_sequence.json
11,012,cover_drive_bad_04.mov,cover_drive/cover_drive_bad_04.mov,cover_drive,data/processed/pose_sequences/012_cover_drive_bad_04_sequence.json
12,013,cover_drive_good_01.mov,cover_drive/cover_drive_good_01.mov,cover_drive,data/processed/pose_sequences/013_cover_drive_good_01_sequence.json
13,014,cover_drive_good_02.mov,cover_drive/cover_drive_good_02.mov,cover_drive,data/processed/pose_sequences/014_cover_drive_good_02_sequence.json
14,015,cover_drive_good_03.mov,cover_drive/cover_drive_good_03.mov,cover_drive,data/processed/pose_sequences/015_cover_drive_good_03_sequence.json
15,016,cover_drive_good_04.mov,cover_drive/cover_drive_good_04.mov,cover_drive,data/processed/pose_sequences/016_cover_drive_good_04_sequence.json
16,017,cover_drive_good_05.mov,cover_drive/cover_drive_good_05.mov,cover_drive,data/processed/pose_sequences/017_cover_drive_good_05_sequence.json
