row_index,video_id,file_name,source_file,shot_label,sequence_path
12,13,cover_drive_good_01.mov,cover_drive/cover_drive_good_01.mov,cover_drive,data/processed/pose_sequences/013_cover_drive_good_01_sequence.json
15,16,cover_drive_good_04.mov,cover_drive/cover_drive_good_04.mov,cover_drive,data/processed/pose_sequences/016_cover_drive_good_04_sequence.json
5,6,cover_drive_average_06.mov,cover_drive/cover_drive_average_06.mov,cover_drive,data/processed/pose_sequences/006_cover_drive_average_06_sequence.json
6,7,cover_drive_average_07.mov,cover_drive/cover_drive_average_07.mov,cover_drive,data/processed/pose_sequences/007_cover_drive_average_07_sequence.json
74,79,sweep_shot_good_03.mov,sweep_shot/sweep_shot_good_03.mov,sweep_shot,data/processed/pose_sequences/079_sweep_shot_good_03_sequence.json
26,27,defensive_shot_average_07.mov,defensive_shot/defensive_shot_average_07.mov,defensive_shot,data/processed/pose_sequences/027_defensive_shot_average_07_sequence.json
55,60,pull_shot_good_04.mov,pull_shot/pull_shot_good_04.mov,pull_shot,data/processed/pose_sequences/060_pull_shot_good_04_sequence.json
14,15,cover_drive_good_03.mov,cover_drive/cover_drive_good_03.mov,cover_drive,data/processed/pose_sequences/015_cover_drive_good_03_sequence.json
48,53,pull_shot_bad_01.mov,pull_shot/pull_shot_bad_01.mov,pull_shot,data/processed/pose_sequences/053_pull_shot_bad_01_sequence.json
32,33,defensive_shot_good_01.mov,defensive_shot/defensive_shot_good_01.mov,defensive_shot,data/processed/pose_sequences/033_defensive_shot_good_01_sequence.json
18,19,cover_drive_good_07.mov,cover_drive/cover_drive_good_07.mov,cover_drive,data/processed/pose_sequences/019_cover_drive_good_07_sequence.json
68,73,sweep_shot_bad_01.mov,sweep_shot/sweep_shot_bad_01.mov,sweep_shot,data/processed/pose_sequences/073_sweep_shot_bad_01_sequence.json
46,51,pull_shot_average_07.mov,pull_shot/pull_shot_average_07.mov,pull_shot,data/processed/pose_sequences/051_pull_shot_average_07_sequence.json
28,29,defensive_shot_bad_01.mov,defensive_shot/defensive_shot_bad_01.mov,defensive_shot,data/processed/pose_sequences/029_defensive_shot_bad_01_sequence.json
57,62,pull_shot_good_06.mov,pull_shot/pull_shot_good_06.mov,pull_shot,data/processed/pose_sequences/062_pull_shot_good_06_sequence.json
52,57,pull_shot_good_01.mov,pull_shot/pull_shot_good_01.mov,pull_shot,data/processed/pose_sequences/057_pull_shot_good_01_sequence.json
7,8,cover_drive_average_08.mov,cover_drive/cover_drive_average_08.mov,cover_drive,data/processed/pose_sequences/008_cover_drive_average_08_sequence.json
10,11,cover_drive_bad_03.mov,cover_drive/cover_drive_bad_03.mov,cover_drive,data/processed/pose_sequences/011_cover_drive_bad_03_sequence.json
29,30,defensive_shot_bad_02.mov,defensive_shot/defensive_shot_bad_02.mov,defensive_shot,data/processed/pose_sequences/030_defensive_shot_bad_02_sequence.json
78,83,sweep_shot_good_07.mov,sweep_shot/sweep_shot_good_07.mov,sweep_shot,data/processed/pose_sequences/083_sweep_shot_good_07_sequence.json
27,28,defensive_shot_average_08.mov,defensive_shot/defensive_shot_average_08.mov,defensive_shot,data/processed/pose_sequences/028_defensive_shot_average_08_sequence.json
76,81,sweep_shot_good_05.mov,sweep_shot/sweep_shot_good_05.mov,sweep_shot,data/processed/pose_sequences/081_sweep_shot_good_05_sequence.json
73,78,sweep_shot_good_02.mov,sweep_shot/sweep_shot_good_02.mov,sweep_shot,data/processed/pose_sequences/078_sweep_shot_good_02_sequence.json
25,26,defensive_shot_average_06.mov,defensive_shot/defensive_shot_average_06.mov,defensive_shot,data/processed/pose_sequences/026_defensive_shot_average_06_sequence.json
45,50,pull_shot_average_06.mov,pull_shot/pull_shot_average_06.mov,pull_shot,data/processed/pose_sequences/050_pull_shot_average_06_sequence.json
54,59,pull_shot_good_03.mov,pull_shot/pull_shot_good_03.mov,pull_shot,data/processed/pose_sequences/059_pull_shot_good_03_sequence.json
20,21,defensive_shot_average_01.mov,defensive_shot/defensive_shot_average_01.mov,defensive_shot,data/processed/pose_sequences/021_defensive_shot_average_01_sequence.json
11,12,cover_drive_bad_04.mov,cover_drive/cover_drive_bad_04.mov,cover_drive,data/processed/pose_sequences/012_cover_drive_bad_04_sequence.json
49,54,pull_shot_bad_02.mov,pull_shot/pull_shot_bad_02.mov,pull_shot,data/processed/pose_sequences/054_pull_shot_bad_02_sequence.json
63,68,sweep_shot_average_04.mov,sweep_shot/sweep_shot_average_04.mov,sweep_shot,data/processed/pose_sequences/068_sweep_shot_average_04_sequence.json
65,70,sweep_shot_average_06.mov,sweep_shot/sweep_shot_average_06.mov,sweep_shot,data/processed/pose_sequences/070_sweep_shot_average_06_sequence.json
16,17,cover_drive_good_05.mov,cover_drive/cover_drive_good_05.mov,cover_drive,data/processed/pose_sequences/017_cover_drive_good_05_sequence.json
21,22,defensive_shot_average_02.mov,defensive_shot/defensive_shot_average_02.mov,defensive_shot,data/processed/pose_sequences/022_defensive_shot_average_02_sequence.json
39,40,defensive_shot_good_08.mov,defensive_shot/defensive_shot_good_08.mov,defensive_shot,data/processed/pose_sequences/040_defensive_shot_good_08_sequence.json
77,82,sweep_shot_good_06.mov,sweep_shot/sweep_shot_good_06.mov,sweep_shot,data/processed/pose_sequences/082_sweep_shot_good_06_sequence.json
24,25,defensive_shot_average_05.mov,defensive_shot/defensive_shot_average_05.mov,defensive_shot,data/processed/pose_sequences/025_defensive_shot_average_05_sequence.json
58,63,pull_shot_good_07.mov,pull_shot/pull_shot_good_07.mov,pull_shot,data/processed/pose_sequences/063_pull_shot_good_07_sequence.json
71,76,sweep_shot_bad_04.mov,sweep_shot/sweep_shot_bad_04.mov,sweep_shot,data/processed/pose_sequences/076_sweep_shot_bad_04_sequence.json
60,65,sweep_shot_average_01.mov,sweep_shot/sweep_shot_average_01.mov,sweep_shot,data/processed/pose_sequences/065_sweep_shot_average_01_sequence.json
59,64,pull_shot_good_08.mov,pull_shot/pull_shot_good_08.mov,pull_shot,data/processed/pose_sequences/064_pull_shot_good_08_sequence.json
