row_index,sample_id,source_file,shot_label,encoded_label
12,013_cover_drive_good_01_sequence,data/processed/pose_sequences/013_cover_drive_good_01_sequence.json,cover_drive,0
15,016_cover_drive_good_04_sequence,data/processed/pose_sequences/016_cover_drive_good_04_sequence.json,cover_drive,0
5,006_cover_drive_average_06_sequence,data/processed/pose_sequences/006_cover_drive_average_06_sequence.json,cover_drive,0
6,007_cover_drive_average_07_sequence,data/processed/pose_sequences/007_cover_drive_average_07_sequence.json,cover_drive,0
74,079_sweep_shot_good_03_sequence,data/processed/pose_sequences/079_sweep_shot_good_03_sequence.json,sweep_shot,3
26,027_defensive_shot_average_07_sequence,data/processed/pose_sequences/027_defensive_shot_average_07_sequence.json,defensive_shot,1
55,060_pull_shot_good_04_sequence,data/processed/pose_sequences/060_pull_shot_good_04_sequence.json,pull_shot,2
14,015_cover_drive_good_03_sequence,data/processed/pose_sequences/015_cover_drive_good_03_sequence.json,cover_drive,0
48,053_pull_shot_bad_01_sequence,data/processed/pose_sequences/053_pull_shot_bad_01_sequence.json,pull_shot,2
32,033_defensive_shot_good_01_sequence,data/processed/pose_sequences/033_defensive_shot_good_01_sequence.json,defensive_shot,1
18,019_cover_drive_good_07_sequence,data/processed/pose_sequences/019_cover_drive_good_07_sequence.json,cover_drive,0
68,073_sweep_shot_bad_01_sequence,data/processed/pose_sequences/073_sweep_shot_bad_01_sequence.json,sweep_shot,3
46,051_pull_shot_average_07_sequence,data/processed/pose_sequences/051_pull_shot_average_07_sequence.json,pull_shot,2
28,029_defensive_shot_bad_01_sequence,data/processed/pose_sequences/029_defensive_shot_bad_01_sequence.json,defensive_shot,1
57,062_pull_shot_good_06_sequence,data/processed/pose_sequences/062_pull_shot_good_06_sequence.json,pull_shot,2
52,057_pull_shot_good_01_sequence,data/processed/pose_sequences/057_pull_shot_good_01_sequence.json,pull_shot,2
7,008_cover_drive_average_08_sequence,data/processed/pose_sequences/008_cover_drive_average_08_sequence.json,cover_drive,0
10,011_cover_drive_bad_03_sequence,data/processed/pose_sequences/011_cover_drive_bad_03_sequence.json,cover_drive,0
29,030_defensive_shot_bad_02_sequence,data/processed/pose_sequences/030_defensive_shot_bad_02_sequence.json,defensive_shot,1
78,083_sweep_shot_good_07_sequence,data/processed/pose_sequences/083_sweep_shot_good_07_sequence.json,sweep_shot,3
27,028_defensive_shot_average_08_sequence,data/processed/pose_sequences/028_defensive_shot_average_08_sequence.json,defensive_shot,1
