epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,validation_macro_f1,learning_rate,epoch_duration,best_checkpoint
1,1.4240075520106725,1.2811796267827351,0.2857142857142857,0.3333333333333333,0.2361111111111111,0.001,0.24910998344421387,True
2,1.2131400789533342,1.1744462251663208,0.5714285714285714,0.4166666666666667,0.35119047619047616,0.001,0.2462620735168457,True
3,1.0470879333359855,1.1039105256398518,0.7321428571428571,0.5,0.43452380952380953,0.001,0.2448570728302002,True
4,0.9286220840045384,1.1123997767766316,0.6964285714285714,0.4166666666666667,0.3571428571428571,0.001,0.24782586097717285,False
5,0.8279970458575657,1.174484650293986,0.7142857142857143,0.4166666666666667,0.4375,0.001,0.2525649070739746,True
6,0.6647203522069114,1.1341591676076253,0.75,0.5833333333333334,0.5928571428571429,0.001,0.24146389961242676,True
7,0.5858333621706281,1.0250927209854126,0.7678571428571429,0.75,0.7595238095238095,0.001,0.24478530883789062,True
8,0.3577572575637272,1.0950175126393635,0.8571428571428571,0.5833333333333334,0.6027777777777779,0.001,0.2432570457458496,False
9,0.22136755074773515,0.8300330638885498,0.9285714285714286,0.8333333333333334,0.8309523809523809,0.001,0.24265813827514648,True
10,0.12582965887018613,0.824851393699646,0.9821428571428571,0.8333333333333334,0.8309523809523809,0.001,0.24755191802978516,False
11,0.06653198174067906,0.9581270615259806,1.0,0.8333333333333334,0.8309523809523809,0.001,0.2513411045074463,False
12,0.025858965569308827,0.9798033634821574,1.0,0.8333333333333334,0.8309523809523809,0.001,0.2445969581604004,False
13,0.013308292853512935,1.0202595392862956,1.0,0.8333333333333334,0.8309523809523809,0.001,0.25519895553588867,False
14,0.007748672805194344,1.0779110590616863,1.0,0.8333333333333334,0.8309523809523809,0.0005,0.24664616584777832,False
15,0.0054528899823448485,1.0999581416447957,1.0,0.75,0.7285714285714285,0.0005,0.24587607383728027,False
16,0.004709318712619799,1.1160222291946411,1.0,0.75,0.7285714285714285,0.0005,0.30051302909851074,False
17,0.004281670886224934,1.089613676071167,1.0,0.8333333333333334,0.8309523809523809,0.0005,0.4751710891723633,False
18,0.0037252281160492983,1.0863796869913738,1.0,0.8333333333333334,0.8309523809523809,0.0005,0.3225257396697998,False
19,0.003148437477648258,1.0859562158584595,1.0,0.8333333333333334,0.8309523809523809,0.00025,0.726707935333252,False
20,0.0029683027948651996,1.0881597995758057,1.0,0.8333333333333334,0.8309523809523809,0.00025,0.5168778896331787,False
21,0.0028275468087356004,1.0946694612503052,1.0,0.8333333333333334,0.8309523809523809,0.00025,0.3603088855743408,False
